label,pca_x,pca_y,tsne_x,tsne_y,lda_x,lda_y,umap_x,umap_y
B6,-2636.981210878885,-1016.6091838456176,-13.885952,36.42868,5.494106616143053,-0.9649265125911555,7.7865047,-2.7249517
B6,7190.539412346322,1524.0730202995578,49.245926,7.395076,5.208397213679883,0.6889307347763745,13.904061,-4.0506134
B6,-274.70128198871674,-494.9844790968792,-3.7098095,-18.073479,5.433371440898162,-0.6133549196265022,7.9882956,-2.5759566
B6,-2116.792860322365,-1571.178199215474,-21.440414,-10.729252,5.472201617124456,-0.8381272505855155,6.9831676,-3.3246255
B6,2985.480535392706,7.272984202084256,31.964863,23.887129,5.430085600810338,-0.5943345079912326,11.071162,-4.434008
B6,-5627.483040643941,389.25194745800604,-46.957115,-1.3811489,5.518149927260227,-1.104103606515901,4.991657,-4.2848544
B6,1921.3845284688452,1251.4980607549276,19.625996,3.5777986,5.482601482805253,-0.8983279057949485,10.449849,-4.1706433
B6,-2096.3116398340017,411.1861667922804,-22.946981,7.747066,5.4376392487895195,-0.6380595494030761,7.5738473,-4.974131
B6,7354.017588608179,-303.05714937066824,51.09759,-4.9493885,5.293228993302352,0.19787355455714284,13.818804,-3.4423554
B6,5181.034520181826,666.1659790492683,40.08041,8.043399,5.286901866546742,0.2344987560717242,12.697718,-4.316648
B6,982.6425951476605,279.6769896044522,19.939812,-6.642558,5.6053770853815985,-1.6090266730392648,9.375466,-5.095194
B6,817.1211366422108,475.4592757924541,8.42324,2.7276485,5.420755861102596,-0.5403283832413104,9.459058,-4.031025
B6,4220.43400332744,1751.291024005617,38.347763,15.309511,5.513569759865709,-1.0775908527377687,12.637042,-4.3623514
B6,-3.24666324625967,-1496.957751828988,1.2497852,-37.13231,5.4474052022004145,-0.6945907404902356,8.691967,-3.338788
B6,-3724.3584835340544,1641.1086446148486,-39.17465,23.7931,5.372050756785775,-0.2583940504412041,5.654717,-5.568878
B6,-1646.9449879296462,706.874466110003,-19.602726,25.70423,5.448456159892736,-0.7006743134532787,7.310139,-5.580188
B6,4820.4934788972005,-2544.310248252597,29.228601,-19.62471,5.4513641247598414,-0.7175073568502255,12.346094,-2.4655912
B6,-5459.824461954607,381.0129984374466,-44.073853,-2.5668476,5.462703445210023,-0.7831461392815369,5.1865497,-4.199272
B6,-2611.0497366486948,-5236.9766651333985,4.1326737,-32.373016,5.383397955602532,-0.3240784375795057,6.5009146,-1.9728916
B6,-1823.8435763569596,-3748.9944937182795,-7.355573,-23.743168,5.427233275734059,-0.577823541048889,8.00928,-2.4640052
B6,-225.01170786811585,678.6793318007384,-15.033197,12.734702,5.504514243863328,-1.0251720991371598,7.8757734,-5.297556
B6,4585.474995942682,-174.58833832045008,45.184242,-5.463442,5.468253434734991,-0.8152728047655954,12.6603365,-3.6710231
